appid,source,added_at
361290,mmg_top_paid,2026-09-08
361420,mmg_top_paid,2026-09-08
361843,mmg_top_paid,2026-09-08
362680,mmg_top_paid,2026-09-08
362810,mmg_top_paid,2026-09-08
362890,mmg_top_paid,2026-09-08
363520,mmg_top_paid,2026-09-08
363950,mmg_top_paid,2026-09-08
365360,mmg_top_paid,2026-09-08
365450,mmg_top_paid,2026-09-08
365590,mmg_top_paid,2026-09-08
367080,mmg_top_paid,2026-09-08
367110,mmg_top_paid,2026-09-08
367500,mmg_top_paid,2026-09-08
367520,mmg_top_paid,2026-09-08
368260,mmg_top_paid,2026-09-08
368500,mmg_top_paid,2026-09-08
371200,mmg_top_paid,2026-09-08
371660,mmg_top_paid,2026-09-08
371970,mmg_top_paid,2026-09-08
373420,mmg_top_paid,2026-09-08
374320,mmg_top_paid,2026-09-08
375180,mmg_top_paid,2026-09-08
375750,mmg_top_paid,2026-09-08
376210,mmg_top_paid,2026-09-08
376920,mmg_top_paid,2026-09-08
377140,mmg_top_paid,2026-09-08
377160,mmg_top_paid,2026-09-08
377840,mmg_top_paid,2026-09-08
379430,mmg_top_paid,2026-09-08
379542,mmg_top_paid,2026-09-08
379720,mmg_top_paid,2026-09-08
380670,mmg_top_paid,2026-09-08
381210,charts_top100,2026-09-07
381750,mmg_top_paid,2026-09-08
383120,mmg_top_paid,2026-09-08
383150,mmg_top_paid,2026-09-08
383870,mmg_top_paid,2026-09-08
383980,mmg_top_paid,2026-09-08
384190,mmg_top_paid,2026-09-08
384300,mmg_top_paid,2026-09-08
384750,mmg_top_paid,2026-09-08
386940,mmg_top_paid,2026-09-08
387290,mmg_top_paid,2026-09-08
387990,mmg_top_paid,2026-09-08
388090,mmg_top_paid,2026-09-08
389050,mmg_top_paid,2026-09-08
389730,mmg_top_paid,2026-09-08
390880,mmg_top_paid,2026-09-08
391160,mmg_top_paid,2026-09-08
391220,mmg_top_paid,2026-09-08
391540,mmg_top_paid,2026-09-08
392160,mmg_top_paid,2026-09-08
392260,mmg_top_paid,2026-09-08
393080,mmg_top_paid,2026-09-08
393380,mmg_top_paid,2026-09-08
393920,mmg_top_paid,2026-09-08
394360,charts_top100,2026-09-07
396090,mmg_top_paid,2026-09-08
396230,mmg_top_paid,2026-09-08
396860,mmg_top_paid,2026-09-08
397540,mmg_top_paid,2026-09-08
397570,mmg_top_paid,2026-09-08
397740,mmg_top_paid,2026-09-08
397950,mmg_top_paid,2026-09-08
398180,mmg_top_paid,2026-09-08
399780,mmg_top_paid,2026-09-08
400660,mmg_top_paid,2026-09-08
400750,mmg_top_paid,2026-09-08
401680,mmg_top_paid,2026-09-08
401890,mmg_top_paid,2026-09-08
403640,mmg_top_paid,2026-09-08
403980,mmg_top_paid,2026-09-08
410340,mmg_top_paid,2026-09-08
411080,mmg_top_paid,2026-09-08
411760,mmg_top_paid,2026-09-08
412020,mmg_top_paid,2026-09-08
412050,mmg_top_paid,2026-09-08
412830,mmg_top_paid,2026-09-08
413150,charts_top100,2026-09-07
413420,mmg_top_paid,2026-09-08
414120,mmg_top_paid,2026-09-08
414340,mmg_top_paid,2026-09-08
415680,mmg_top_paid,2026-09-08
416360,mmg_top_paid,2026-09-08
416640,mmg_top_paid,2026-09-08
418150,mmg_top_paid,2026-09-08
418370,mmg_top_paid,2026-09-08
418460,mmg_top_paid,2026-09-08
420530,mmg_top_paid,2026-09-08
420550,mmg_top_paid,2026-09-08
420850,mmg_top_paid,2026-09-08
420950,mmg_top_paid,2026-09-08
